date,author,start_price,end_price,year,tech,decade,dimension,technique,category
2011,Lola Liivat-Makarova,900.0,900.0,1981.0,"õli,vineer. ",1980.0,3400.0,Oil on wood,Oil paint
2011,Konrad Mägi,79900.0,79900.0,1922.0,"õli,lõuend. ",1920.0,7665.35,Oil on canvas,Oil paint
2011,Evald Okas,900.0,1450.0,1961.0,"ofort. akvatinta,paber. plm.",1960.0,1118.25,Aquatint,Graphics
2011,Jaan Punga,900.0,1810.0,2011.0,"õli,lõuend. ",2010.0,8640.0,Oil on canvas,Oil paint
2011,Juhan Püttsepp,5600.0,5600.0,1938.0,"õli,lõuend. ",1930.0,7889.0,Oil on canvas,Oil paint
2011,Juhan Püttsepp,1100.0,1100.0,1967.0,"tempera, papp. ",1960.0,3342.36,Tempera,Other paint
2011,Mart Sander,600.0,600.0,2010.0,"õli,lõuend. ",2010.0,726.0,Oil on canvas,Oil paint
2011,Balder Tomasberg,3000.0,4550.0,1916.0,"õli,papp, ",1910.0,3450.75,Oil on cardboard,Oil paint
2011,Johannes Uiga,1000.0,1060.0,," õli,lõuend. ",,6497.0,Oil on canvas,Oil paint
2011,Richard Uutmaa,3700.0,3700.0,1976.0,"õli,lõuend papil. ",1970.0,3500.0,Oil on canvas,Oil paint
2011,Richard Uutmaa,5900.0,8300.0,1938.0,"õli,lõuend. ",1930.0,5600.0,Oil on canvas,Oil paint
2011,Jaan Vahtra,6000.0,6000.0,1929.0,"õli,lõuend. ",1920.0,5973.0,Oil on canvas,Oil paint
2011,Ants Erik Vomm,2300.0,2300.0,1969.0,"kollaa¾, akvarell, pliiats. ",1960.0,18256.0,Watercolour,Other paint
2010,Ida Anton-Agu,447.0,1182.0,1961.0,"õli, lõuend papil ",1960.0,1690.5,Oil on canvas,Oil paint
2010,Ida Anton-Agu,575.0,990.0,1970.0,"õli, papp ",1970.0,1739.5,Oil on cardboard,Oil paint
2010,Andrei Jegorov,1611.0,2940.0,," õli, papp ",,828.0999999999999,Oil on cardboard,Oil paint
2010,Malle Leis,639.0,735.0,2002.0,"õli, lõuend ",2000.0,1995.0,Oil on canvas,Oil paint
2010,Valerian Loik,2492.0,2588.0,1938.0,"õli, lõuend ",1930.0,13589.0,Oil on canvas,Oil paint
2010,Kalju Nagel,639.0,639.0,1954.0,"õli, lõuend ",1950.0,1518.0,Oil on canvas,Oil paint
2010,Valdur Ohakas,1118.0,1118.0,1967.0,"õli,lõuend papil ",1960.0,1584.0,Oil on canvas,Oil paint
2010,Evald Okas,862.0,990.0,1949.0,"akvarell,paber km.",1940.0,1507.5,Watercolour,Other paint
2010,Aleksander Pilar,511.0,511.0,1947.0,"akvarell, paber km.",1940.0,1110.0,Watercolour,Other paint
2010,Rudolf Sepp,1853.0,1853.0,1940.0,"i pool õli,vineer ",1940.0,4469.0,Oil on wood,Oil paint
2010,Rudolf Sepp,1597.0,1598.0,1938.0,"õli, lõuend ",1930.0,11153.1,Oil on canvas,Oil paint
2010,Ernst Tiido,351.0,396.0,1954.0,"ofort,akvatinta,paber plm.",1950.0,732.0,Aquatint,Graphics
2010,Karl Burman Vanem,671.0,991.0,1947.0,"akvarell, paber lm ",1940.0,2880.0,Watercolour,Other paint
2010,Nigul Espe,256.0,288.0,1962.0,"akvarell, paber lm ",1960.0,490.25,Watercolour,Other paint
2010,Linda Kits-Mägi,479.0,479.0,1967.0,"segatehnika, kartong ava ",1960.0,1677.0,Mixed tech,Other
2010,Konrad Mägi,58481.0,79893.0,1922.0,"õli, lõuend ",1920.0,7665.35,Oil on canvas,Oil paint
2010,Valdur Ohakas,1214.0,1214.0,," õli, papp ",,4320.0,Oil on cardboard,Oil paint
2010,Voldemar Peil,607.0,607.0,1987.0,"õli, lõuend ",1980.0,3600.0,Oil on canvas,Oil paint
2010,August Pulst,415.0,511.0,1976.0,"õli, papp ",1970.0,1080.0,Oil on cardboard,Oil paint
2010,Leonhard Räkk,831.0,831.0,1966.0,"tempera, papp ",1960.0,2898.0,Tempera,Other paint
2010,Johannes Saal,2301.0,3643.0,1943.0,"õli, vineer ",1940.0,1496.0,Oil on wood,Oil paint
2010,Imat Suumann,1087.0,1087.0,2010.0,"õli, lõuend ",2010.0,6000.0,Oil on canvas,Oil paint
2010,Johannes Uiga,863.0,863.0,," õli, papp ",,3500.0,Oil on cardboard,Oil paint
2010,Johannes Uiga,767.0,799.0,1986.0,"õli, lõuend ",1980.0,6500.0,Oil on canvas,Oil paint
2010,Richard Uutmaa,3515.0,3515.0,1977.0,"õli, lõuend papil ",1970.0,3500.0,Oil on canvas,Oil paint
2010,Aleksander Vardi,5240.0,5240.0,1958.0,"õli, lõuend ",1950.0,9600.0,Oil on canvas,Oil paint
2010,Piret Veski,639.0,639.0,2009.0,"õli, lõuend ",2000.0,2983.0,Oil on canvas,Oil paint
