date,author,start_price,end_price,year,tech,decade,dimension,technique,category
2004.0,Arnold Peeter,894.76,1406.06,1930.0,"akvarell, guašš",1930.0,1120.0,Watercolour,Other paint
2004.0,Johannes,2684.29,3163.63,1920.0,"õli, lõuend",1920.0,3773.2999999999997,Oil on canvas,Oil paint
2003.0,Priidu,1533.88,1533.88,1973.0,"õli, lõuend",1970.0,12789.0,Oil on canvas,Oil paint
2003.0,Märt,543.25,830.85,1960.0,"õli, vineer",1960.0,1178.0,Oil on wood,Oil paint
2003.0,Osvald,607.16,1565.84,1920.0,"õli, lõuend",1920.0,3727.5,Oil on canvas,Oil paint
2003.0,Andrei,3515.14,5304.67,1935.0,"õli, lõuend",1930.0,3727.5,Oil on canvas,Oil paint
2003.0,Elmar,2300.82,2300.82,1967.0,"õli, lõuend",1960.0,8000.0,Oil on canvas,Oil paint
2003.0,Nikolai,1725.61,3003.85,1920.0,"õli, lõuend",1920.0,4819.0,Oil on canvas,Oil paint
2003.0,Endel,3387.32,4633.59,1940.0,"õli, lõuend",1940.0,3213.0,Oil on canvas,Oil paint
2003.0,Endel,1661.7,1661.7,1971.0,"guašš, monotüüpia",1970.0,2820.0,Gouache,Other paint
2003.0,Valerian,1150.41,1150.41,1960.0,"õli, lõuend",1960.0,10692.0,Oil on canvas,Oil paint
2003.0,Natalie,383.47,926.72,1938.0,"akvarell, paber",1930.0,875.0,Watercolour,Other paint
2003.0,Natalie,383.47,926.72,1938.0,"akvarell, paber",1930.0,875.0,Watercolour,Other paint
2003.0,Natalie,383.47,926.72,1938.0,"akvarell, paber",1930.0,875.0,Watercolour,Other paint
2003.0,Juhan,1182.37,1501.92,1963.0,"õli, papp",1960.0,1632.0,Oil on cardboard,Oil paint
2003.0,Kalju,1597.79,1949.31,1977.0,"õli, lõuend",1970.0,12610.0,Oil on canvas,Oil paint
2003.0,Valdur,926.72,990.63,1960.0,"õli, papp",1960.0,1732.5,Oil on cardboard,Oil paint
2003.0,Villem,12079.3,13357.53,1929.0,"õli, lõuend",1920.0,3994.5600000000004,Oil on canvas,Oil paint
